fecha,prediccion_demanda,llave
2024-03-18,60.0,248BH8PO1T04
2024-03-25,60.0,248BH8PO1T04
2024-04-01,61.0,248BH8PO1T04
2024-04-08,61.0,248BH8PO1T04
2024-04-15,61.0,248BH8PO1T04
2024-04-22,61.0,248BH8PO1T04
2024-04-29,61.0,248BH8PO1T04
2024-05-06,61.0,248BH8PO1T04
2024-05-13,62.0,248BH8PO1T04
2024-05-20,62.0,248BH8PO1T04
2024-05-27,62.0,248BH8PO1T04
2024-06-03,62.0,248BH8PO1T04
2024-06-10,62.0,248BH8PO1T04
2024-06-17,63.0,248BH8PO1T04
2024-06-24,63.0,248BH8PO1T04
2024-07-01,63.0,248BH8PO1T04
2024-07-08,63.0,248BH8PO1T04
2024-07-15,63.0,248BH8PO1T04
2024-07-22,63.0,248BH8PO1T04
2024-07-29,64.0,248BH8PO1T04
2024-08-05,64.0,248BH8PO1T04
2024-08-12,64.0,248BH8PO1T04
2024-08-19,64.0,248BH8PO1T04
2024-08-26,64.0,248BH8PO1T04
2024-09-02,65.0,248BH8PO1T04
2024-09-09,65.0,248BH8PO1T04
2024-09-16,65.0,248BH8PO1T04
2024-09-23,65.0,248BH8PO1T04
2024-09-30,65.0,248BH8PO1T04
2024-10-07,65.0,248BH8PO1T04
2024-10-14,66.0,248BH8PO1T04
2024-10-21,66.0,248BH8PO1T04
2024-10-28,66.0,248BH8PO1T04
2024-11-04,66.0,248BH8PO1T04
2024-11-11,66.0,248BH8PO1T04
2024-11-18,67.0,248BH8PO1T04
2024-11-25,67.0,248BH8PO1T04
2024-12-02,67.0,248BH8PO1T04
2024-12-09,67.0,248BH8PO1T04
2024-12-16,67.0,248BH8PO1T04
2024-12-23,67.0,248BH8PO1T04
2024-12-30,68.0,248BH8PO1T04
2024-01-01,0.0,248BE2QK1MD08
2024-01-08,0.0,248BE2QK1MD08
2024-01-15,9.0,248BE2QK1MD08
2024-01-22,24.0,248BE2QK1MD08
2024-01-29,30.0,248BE2QK1MD08
2024-02-05,22.0,248BE2QK1MD08
2024-02-12,9.0,248BE2QK1MD08
2024-02-19,0.0,248BE2QK1MD08
2024-02-26,0.0,248BE2QK1MD08
2024-03-04,2.0,248BE2QK1MD08
2024-03-11,0.0,248BE2QK1MD08
2024-03-18,0.0,248BE2QK1MD08
2024-03-25,0.0,248BE2QK1MD08
2024-04-01,0.0,248BE2QK1MD08
2024-04-08,0.0,248BE2QK1MD08
2024-04-15,0.0,248BE2QK1MD08
2024-04-22,0.0,248BE2QK1MD08
2024-04-29,0.0,248BE2QK1MD08
2024-05-06,14.0,248BE2QK1MD08
2024-05-13,36.0,248BE2QK1MD08
2024-05-20,45.0,248BE2QK1MD08
2024-05-27,31.0,248BE2QK1MD08
2024-06-03,8.0,248BE2QK1MD08
2024-06-10,0.0,248BE2QK1MD08
2024-06-17,0.0,248BE2QK1MD08
2024-06-24,0.0,248BE2QK1MD08
2024-07-01,0.0,248BE2QK1MD08
2024-07-08,0.0,248BE2QK1MD08
2024-07-15,0.0,248BE2QK1MD08
2024-07-22,0.0,248BE2QK1MD08
2024-07-29,0.0,248BE2QK1MD08
2024-08-05,0.0,248BE2QK1MD08
2024-08-12,2.0,248BE2QK1MD08
2024-08-19,6.0,248BE2QK1MD08
2024-08-26,12.0,248BE2QK1MD08
2024-09-02,14.0,248BE2QK1MD08
2024-09-09,9.0,248BE2QK1MD08
2024-09-16,0.0,248BE2QK1MD08
2024-09-23,0.0,248BE2QK1MD08
2024-09-30,0.0,248BE2QK1MD08
2024-10-07,0.0,248BE2QK1MD08
2024-10-14,2.0,248BE2QK1MD08
2024-10-21,0.0,248BE2QK1MD08
2024-10-28,0.0,248BE2QK1MD08
2024-11-04,0.0,248BE2QK1MD08
2024-11-11,0.0,248BE2QK1MD08
2024-11-18,0.0,248BE2QK1MD08
2024-11-25,0.0,248BE2QK1MD08
2024-12-02,0.0,248BE2QK1MD08
2024-12-09,0.0,248BE2QK1MD08
2024-12-16,0.0,248BE2QK1MD08
2024-12-23,0.0,248BE2QK1MD08
2024-12-30,0.0,248BE2QK1MD08
2024-01-01,4.0,248BH4PV9T06
2024-01-08,0.0,248BH4PV9T06
2024-01-15,0.0,248BH4PV9T06
2024-01-22,2.0,248BH4PV9T06
2024-01-29,2.0,248BH4PV9T06
2024-02-05,2.0,248BH4PV9T06
2024-02-12,2.0,248BH4PV9T06
2024-02-19,2.0,248BH4PV9T06
2024-02-26,2.0,248BH4PV9T06
2024-03-04,3.0,248BH4PV9T06
2024-03-11,2.0,248BH4PV9T06
2024-03-18,2.0,248BH4PV9T06
2024-03-25,0.0,248BH4PV9T06
2024-04-01,0.0,248BH4PV9T06
2024-04-08,2.0,248BH4PV9T06
2024-04-15,3.0,248BH4PV9T06
2024-04-22,2.0,248BH4PV9T06
2024-04-29,0.0,248BH4PV9T06
2024-05-06,0.0,248BH4PV9T06
2024-05-13,0.0,248BH4PV9T06
2024-05-20,2.0,248BH4PV9T06
2024-05-27,0.0,248BH4PV9T06
2024-06-03,0.0,248BH4PV9T06
2024-06-10,0.0,248BH4PV9T06
2024-06-17,0.0,248BH4PV9T06
2024-06-24,0.0,248BH4PV9T06
2024-07-01,0.0,248BH4PV9T06
2024-07-08,0.0,248BH4PV9T06
2024-07-15,0.0,248BH4PV9T06
2024-07-22,0.0,248BH4PV9T06
2024-07-29,0.0,248BH4PV9T06
2024-08-05,3.0,248BH4PV9T06
2024-08-12,0.0,248BH4PV9T06
2024-08-19,0.0,248BH4PV9T06
2024-08-26,0.0,248BH4PV9T06
2024-09-02,2.0,248BH4PV9T06
2024-09-09,12.0,248BH4PV9T06
2024-09-16,11.0,248BH4PV9T06
2024-09-23,0.0,248BH4PV9T06
2024-09-30,0.0,248BH4PV9T06
2024-10-07,0.0,248BH4PV9T06
2024-10-14,3.0,248BH4PV9T06
2024-10-21,14.0,248BH4PV9T06
2024-10-28,12.0,248BH4PV9T06
2024-11-04,0.0,248BH4PV9T06
2024-11-11,0.0,248BH4PV9T06
2024-11-18,0.0,248BH4PV9T06
2024-11-25,0.0,248BH4PV9T06
2024-12-02,15.0,248BH4PV9T06
2024-12-09,23.0,248BH4PV9T06
2024-12-16,21.0,248BH4PV9T06
2024-12-23,13.0,248BH4PV9T06
2024-12-30,5.0,248BH4PV9T06
2024-01-01,77.0,248BE2QN8MD02
2024-01-08,68.0,248BE2QN8MD02
2024-01-15,32.0,248BE2QN8MD02
2024-01-22,6.0,248BE2QN8MD02
2024-01-29,0.0,248BE2QN8MD02
2024-02-05,4.0,248BE2QN8MD02
2024-02-12,0.0,248BE2QN8MD02
2024-02-19,0.0,248BE2QN8MD02
2024-02-26,0.0,248BE2QN8MD02
2024-03-04,0.0,248BE2QN8MD02
2024-03-11,3.0,248BE2QN8MD02
2024-03-18,0.0,248BE2QN8MD02
2024-03-25,0.0,248BE2QN8MD02
2024-04-01,19.0,248BE2QN8MD02
2024-04-08,52.0,248BE2QN8MD02
2024-04-15,66.0,248BE2QN8MD02
2024-04-22,41.0,248BE2QN8MD02
2024-04-29,0.0,248BE2QN8MD02
2024-05-06,0.0,248BE2QN8MD02
2024-05-13,0.0,248BE2QN8MD02
2024-05-20,0.0,248BE2QN8MD02
2024-05-27,0.0,248BE2QN8MD02
2024-06-03,0.0,248BE2QN8MD02
2024-06-10,20.0,248BE2QN8MD02
2024-06-17,72.0,248BE2QN8MD02
2024-06-24,134.0,248BE2QN8MD02
2024-07-01,161.0,248BE2QN8MD02
2024-07-08,133.0,248BE2QN8MD02
2024-07-15,73.0,248BE2QN8MD02
2024-07-22,22.0,248BE2QN8MD02
2024-07-29,0.0,248BE2QN8MD02
2024-08-05,0.0,248BE2QN8MD02
2024-08-12,3.0,248BE2QN8MD02
2024-08-19,2.0,248BE2QN8MD02
2024-08-26,0.0,248BE2QN8MD02
2024-09-02,2.0,248BE2QN8MD02
2024-09-09,0.0,248BE2QN8MD02
2024-09-16,0.0,248BE2QN8MD02
2024-09-23,15.0,248BE2QN8MD02
2024-09-30,45.0,248BE2QN8MD02
2024-10-07,69.0,248BE2QN8MD02
2024-10-14,60.0,248BE2QN8MD02
2024-10-21,15.0,248BE2QN8MD02
2024-10-28,0.0,248BE2QN8MD02
2024-11-04,0.0,248BE2QN8MD02
2024-11-11,23.0,248BE2QN8MD02
2024-11-18,69.0,248BE2QN8MD02
2024-11-25,66.0,248BE2QN8MD02
2024-12-02,19.0,248BE2QN8MD02
2024-12-09,0.0,248BE2QN8MD02
2024-12-16,0.0,248BE2QN8MD02
2024-12-23,33.0,248BE2QN8MD02
2024-12-30,73.0,248BE2QN8MD02
2024-01-01,0.0,251310462BH7057
2024-01-08,0.0,251310462BH7057
2024-01-15,0.0,251310462BH7057
2024-01-22,0.0,251310462BH7057
2024-01-29,0.0,251310462BH7057
2024-02-05,0.0,251310462BH7057
2024-02-12,0.0,251310462BH7057
2024-02-19,0.0,251310462BH7057
2024-02-26,0.0,251310462BH7057
2024-03-04,0.0,251310462BH7057
2024-03-11,0.0,251310462BH7057
2024-03-18,0.0,251310462BH7057
2024-03-25,0.0,251310462BH7057
2024-04-01,0.0,251310462BH7057
2024-04-08,0.0,251310462BH7057
2024-04-15,0.0,251310462BH7057
2024-04-22,0.0,251310462BH7057
2024-04-29,0.0,251310462BH7057
2024-05-06,0.0,251310462BH7057
2024-05-13,0.0,251310462BH7057
2024-05-20,0.0,251310462BH7057
2024-05-27,0.0,251310462BH7057
2024-06-03,0.0,251310462BH7057
2024-06-10,0.0,251310462BH7057
2024-06-17,0.0,251310462BH7057
2024-06-24,0.0,251310462BH7057
2024-07-01,0.0,251310462BH7057
2024-07-08,0.0,251310462BH7057
2024-07-15,0.0,251310462BH7057
2024-07-22,0.0,251310462BH7057
2024-07-29,0.0,251310462BH7057
2024-08-05,0.0,251310462BH7057
2024-08-12,0.0,251310462BH7057
2024-08-19,0.0,251310462BH7057
2024-08-26,0.0,251310462BH7057
2024-09-02,0.0,251310462BH7057
2024-09-09,0.0,251310462BH7057
2024-09-16,0.0,251310462BH7057
2024-09-23,0.0,251310462BH7057
2024-09-30,0.0,251310462BH7057
2024-10-07,0.0,251310462BH7057
2024-10-14,0.0,251310462BH7057
2024-10-21,0.0,251310462BH7057
2024-10-28,0.0,251310462BH7057
2024-11-04,0.0,251310462BH7057
2024-11-11,0.0,251310462BH7057
2024-11-18,0.0,251310462BH7057
2024-11-25,0.0,251310462BH7057
2024-12-02,0.0,251310462BH7057
2024-12-09,0.0,251310462BH7057
2024-12-16,0.0,251310462BH7057
2024-12-23,0.0,251310462BH7057
2024-12-30,0.0,251310462BH7057
2024-01-01,0.0,248BY1PJ9T16
2024-01-08,0.0,248BY1PJ9T16
2024-01-15,2.0,248BY1PJ9T16
2024-01-22,5.0,248BY1PJ9T16
2024-01-29,6.0,248BY1PJ9T16
2024-02-05,5.0,248BY1PJ9T16
2024-02-12,3.0,248BY1PJ9T16
2024-02-19,0.0,248BY1PJ9T16
2024-02-26,0.0,248BY1PJ9T16
2024-03-04,2.0,248BY1PJ9T16
2024-03-11,0.0,248BY1PJ9T16
2024-03-18,0.0,248BY1PJ9T16
2024-03-25,0.0,248BY1PJ9T16
2024-04-01,0.0,248BY1PJ9T16
2024-04-08,0.0,248BY1PJ9T16
2024-04-15,0.0,248BY1PJ9T16
2024-04-22,0.0,248BY1PJ9T16
2024-04-29,0.0,248BY1PJ9T16
2024-05-06,3.0,248BY1PJ9T16
2024-05-13,0.0,248BY1PJ9T16
2024-05-20,0.0,248BY1PJ9T16
2024-05-27,0.0,248BY1PJ9T16
2024-06-03,0.0,248BY1PJ9T16
2024-06-10,0.0,248BY1PJ9T16
2024-06-17,0.0,248BY1PJ9T16
2024-06-24,0.0,248BY1PJ9T16
2024-07-01,0.0,248BY1PJ9T16
2024-07-08,0.0,248BY1PJ9T16
2024-07-15,0.0,248BY1PJ9T16
2024-07-22,0.0,248BY1PJ9T16
2024-07-29,0.0,248BY1PJ9T16
2024-08-05,3.0,248BY1PJ9T16
2024-08-12,3.0,248BY1PJ9T16
2024-08-19,0.0,248BY1PJ9T16
2024-08-26,0.0,248BY1PJ9T16
2024-09-02,0.0,248BY1PJ9T16
2024-09-09,0.0,248BY1PJ9T16
2024-09-16,0.0,248BY1PJ9T16
2024-09-23,0.0,248BY1PJ9T16
2024-09-30,0.0,248BY1PJ9T16
2024-10-07,2.0,248BY1PJ9T16
2024-10-14,0.0,248BY1PJ9T16
2024-10-21,0.0,248BY1PJ9T16
2024-10-28,0.0,248BY1PJ9T16
2024-11-04,0.0,248BY1PJ9T16
2024-11-11,2.0,248BY1PJ9T16
2024-11-18,0.0,248BY1PJ9T16
2024-11-25,0.0,248BY1PJ9T16
2024-12-02,0.0,248BY1PJ9T16
2024-12-09,0.0,248BY1PJ9T16
2024-12-16,0.0,248BY1PJ9T16
2024-12-23,0.0,248BY1PJ9T16
2024-12-30,0.0,248BY1PJ9T16
2024-01-01,7.0,248BH4QI6TXL
2024-01-08,2.0,248BH4QI6TXL
2024-01-15,2.0,248BH4QI6TXL
2024-01-22,2.0,248BH4QI6TXL
2024-01-29,2.0,248BH4QI6TXL
2024-02-05,2.0,248BH4QI6TXL
2024-02-12,2.0,248BH4QI6TXL
2024-02-19,2.0,248BH4QI6TXL
2024-02-26,2.0,248BH4QI6TXL
2024-03-04,0.0,248BH4QI6TXL
2024-03-11,0.0,248BH4QI6TXL
2024-03-18,0.0,248BH4QI6TXL
2024-03-25,0.0,248BH4QI6TXL
2024-04-01,0.0,248BH4QI6TXL
2024-04-08,0.0,248BH4QI6TXL
2024-04-15,26.0,248BH4QI6TXL
2024-04-22,34.0,248BH4QI6TXL
2024-04-29,16.0,248BH4QI6TXL
2024-05-06,0.0,248BH4QI6TXL
2024-05-13,0.0,248BH4QI6TXL
2024-05-20,5.0,248BH4QI6TXL
2024-05-27,26.0,248BH4QI6TXL
2024-06-03,25.0,248BH4QI6TXL
2024-06-10,5.0,248BH4QI6TXL
2024-06-17,0.0,248BH4QI6TXL
2024-06-24,0.0,248BH4QI6TXL
2024-07-01,18.0,248BH4QI6TXL
2024-07-08,27.0,248BH4QI6TXL
2024-07-15,17.0,248BH4QI6TXL
2024-07-22,3.0,248BH4QI6TXL
2024-07-29,4.0,248BH4QI6TXL
2024-08-05,18.0,248BH4QI6TXL
2024-08-12,24.0,248BH4QI6TXL
2024-08-19,12.0,248BH4QI6TXL
2024-08-26,0.0,248BH4QI6TXL
2024-09-02,0.0,248BH4QI6TXL
2024-09-09,10.0,248BH4QI6TXL
2024-09-16,26.0,248BH4QI6TXL
2024-09-23,20.0,248BH4QI6TXL
2024-09-30,0.0,248BH4QI6TXL
2024-10-07,0.0,248BH4QI6TXL
2024-10-14,0.0,248BH4QI6TXL
2024-10-21,26.0,248BH4QI6TXL
2024-10-28,32.0,248BH4QI6TXL
2024-11-04,10.0,248BH4QI6TXL
2024-11-11,0.0,248BH4QI6TXL
2024-11-18,0.0,248BH4QI6TXL
2024-11-25,7.0,248BH4QI6TXL
2024-12-02,46.0,248BH4QI6TXL
2024-12-09,64.0,248BH4QI6TXL
2024-12-16,54.0,248BH4QI6TXL
2024-12-23,29.0,248BH4QI6TXL
2024-12-30,9.0,248BH4QI6TXL
2024-01-01,0.0,248AT7QB4TS
2024-01-08,0.0,248AT7QB4TS
2024-01-15,2.0,248AT7QB4TS
2024-01-22,0.0,248AT7QB4TS
2024-01-29,0.0,248AT7QB4TS
2024-02-05,2.0,248AT7QB4TS
2024-02-12,0.0,248AT7QB4TS
2024-02-19,0.0,248AT7QB4TS
2024-02-26,5.0,248AT7QB4TS
2024-03-04,12.0,248AT7QB4TS
2024-03-11,13.0,248AT7QB4TS
2024-03-18,6.0,248AT7QB4TS
2024-03-25,0.0,248AT7QB4TS
2024-04-01,0.0,248AT7QB4TS
2024-04-08,0.0,248AT7QB4TS
2024-04-15,0.0,248AT7QB4TS
2024-04-22,0.0,248AT7QB4TS
2024-04-29,0.0,248AT7QB4TS
2024-05-06,0.0,248AT7QB4TS
2024-05-13,0.0,248AT7QB4TS
2024-05-20,0.0,248AT7QB4TS
2024-05-27,0.0,248AT7QB4TS
2024-06-03,0.0,248AT7QB4TS
2024-06-10,5.0,248AT7QB4TS
2024-06-17,5.0,248AT7QB4TS
2024-06-24,0.0,248AT7QB4TS
2024-07-01,0.0,248AT7QB4TS
2024-07-08,0.0,248AT7QB4TS
2024-07-15,2.0,248AT7QB4TS
2024-07-22,0.0,248AT7QB4TS
2024-07-29,0.0,248AT7QB4TS
2024-08-05,0.0,248AT7QB4TS
2024-08-12,0.0,248AT7QB4TS
2024-08-19,30.0,248AT7QB4TS
2024-08-26,74.0,248AT7QB4TS
2024-09-02,46.0,248AT7QB4TS
2024-09-09,0.0,248AT7QB4TS
2024-09-16,0.0,248AT7QB4TS
2024-09-23,0.0,248AT7QB4TS
2024-09-30,0.0,248AT7QB4TS
2024-10-07,76.0,248AT7QB4TS
2024-10-14,121.0,248AT7QB4TS
2024-10-21,84.0,248AT7QB4TS
2024-10-28,20.0,248AT7QB4TS
2024-11-04,0.0,248AT7QB4TS
2024-11-11,0.0,248AT7QB4TS
2024-11-18,0.0,248AT7QB4TS
2024-11-25,0.0,248AT7QB4TS
2024-12-02,0.0,248AT7QB4TS
2024-12-09,0.0,248AT7QB4TS
2024-12-16,0.0,248AT7QB4TS
2024-12-23,0.0,248AT7QB4TS
2024-12-30,0.0,248AT7QB4TS
2024-01-01,2.0,248BH7PJ6T08
2024-01-08,2.0,248BH7PJ6T08
2024-01-15,3.0,248BH7PJ6T08
2024-01-22,3.0,248BH7PJ6T08
2024-01-29,4.0,248BH7PJ6T08
2024-02-05,4.0,248BH7PJ6T08
2024-02-12,4.0,248BH7PJ6T08
2024-02-19,3.0,248BH7PJ6T08
2024-02-26,2.0,248BH7PJ6T08
2024-03-04,2.0,248BH7PJ6T08
2024-03-11,2.0,248BH7PJ6T08
2024-03-18,2.0,248BH7PJ6T08
2024-03-25,2.0,248BH7PJ6T08
2024-04-01,2.0,248BH7PJ6T08
2024-04-08,4.0,248BH7PJ6T08
2024-04-15,4.0,248BH7PJ6T08
2024-04-22,0.0,248BH7PJ6T08
2024-04-29,0.0,248BH7PJ6T08
2024-05-06,0.0,248BH7PJ6T08
2024-05-13,0.0,248BH7PJ6T08
2024-05-20,0.0,248BH7PJ6T08
2024-05-27,0.0,248BH7PJ6T08
2024-06-03,0.0,248BH7PJ6T08
2024-06-10,0.0,248BH7PJ6T08
2024-06-17,2.0,248BH7PJ6T08
2024-06-24,2.0,248BH7PJ6T08
2024-07-01,2.0,248BH7PJ6T08
2024-07-08,2.0,248BH7PJ6T08
2024-07-15,3.0,248BH7PJ6T08
2024-07-22,3.0,248BH7PJ6T08
2024-07-29,2.0,248BH7PJ6T08
2024-08-05,2.0,248BH7PJ6T08
2024-08-12,3.0,248BH7PJ6T08
2024-08-19,5.0,248BH7PJ6T08
2024-08-26,7.0,248BH7PJ6T08
2024-09-02,8.0,248BH7PJ6T08
2024-09-09,6.0,248BH7PJ6T08
2024-09-16,3.0,248BH7PJ6T08
2024-09-23,2.0,248BH7PJ6T08
2024-09-30,2.0,248BH7PJ6T08
2024-10-07,3.0,248BH7PJ6T08
2024-10-14,3.0,248BH7PJ6T08
2024-10-21,2.0,248BH7PJ6T08
2024-10-28,0.0,248BH7PJ6T08
2024-11-04,0.0,248BH7PJ6T08
2024-11-11,0.0,248BH7PJ6T08
2024-11-18,0.0,248BH7PJ6T08
2024-11-25,2.0,248BH7PJ6T08
2024-12-02,2.0,248BH7PJ6T08
2024-12-09,2.0,248BH7PJ6T08
2024-12-16,0.0,248BH7PJ6T08
2024-12-23,0.0,248BH7PJ6T08
2024-12-30,2.0,248BH7PJ6T08
2024-01-01,0.0,248BH4PW9T06
2024-01-08,0.0,248BH4PW9T06
2024-01-15,0.0,248BH4PW9T06
2024-01-22,0.0,248BH4PW9T06
2024-01-29,4.0,248BH4PW9T06
2024-02-05,3.0,248BH4PW9T06
2024-02-12,0.0,248BH4PW9T06
2024-02-19,0.0,248BH4PW9T06
2024-02-26,0.0,248BH4PW9T06
2024-03-04,0.0,248BH4PW9T06
2024-03-11,0.0,248BH4PW9T06
2024-03-18,0.0,248BH4PW9T06
2024-03-25,0.0,248BH4PW9T06
2024-04-01,0.0,248BH4PW9T06
2024-04-08,0.0,248BH4PW9T06
2024-04-15,0.0,248BH4PW9T06
2024-04-22,0.0,248BH4PW9T06
2024-04-29,0.0,248BH4PW9T06
2024-05-06,0.0,248BH4PW9T06
2024-05-13,0.0,248BH4PW9T06
2024-05-20,0.0,248BH4PW9T06
2024-05-27,0.0,248BH4PW9T06
2024-06-03,0.0,248BH4PW9T06
2024-06-10,0.0,248BH4PW9T06
2024-06-17,0.0,248BH4PW9T06
2024-06-24,0.0,248BH4PW9T06
2024-07-01,0.0,248BH4PW9T06
2024-07-08,0.0,248BH4PW9T06
2024-07-15,0.0,248BH4PW9T06
2024-07-22,0.0,248BH4PW9T06
2024-07-29,0.0,248BH4PW9T06
2024-08-05,0.0,248BH4PW9T06
2024-08-12,0.0,248BH4PW9T06
2024-08-19,0.0,248BH4PW9T06
2024-08-26,0.0,248BH4PW9T06
2024-09-02,7.0,248BH4PW9T06
2024-09-09,65.0,248BH4PW9T06
2024-09-16,171.0,248BH4PW9T06
2024-09-23,261.0,248BH4PW9T06
2024-09-30,240.0,248BH4PW9T06
2024-10-07,80.0,248BH4PW9T06
2024-10-14,0.0,248BH4PW9T06
2024-10-21,0.0,248BH4PW9T06
2024-10-28,0.0,248BH4PW9T06
2024-11-04,94.0,248BH4PW9T06
2024-11-11,303.0,248BH4PW9T06
2024-11-18,350.0,248BH4PW9T06
2024-11-25,229.0,248BH4PW9T06
2024-12-02,50.0,248BH4PW9T06
2024-12-09,0.0,248BH4PW9T06
2024-12-16,0.0,248BH4PW9T06
2024-12-23,0.0,248BH4PW9T06
2024-12-30,0.0,248BH4PW9T06
2024-01-01,0.0,248AI6PR6T16
2024-01-08,0.0,248AI6PR6T16
2024-01-15,3.0,248AI6PR6T16
2024-01-22,8.0,248AI6PR6T16
